team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
EDM,2016,EDM,2016030181,EDM,S.J,HOME,20170412,Team Level,other,0.2345,0.6,0.6,120.0,1.978,0.223,0.145,0.306,0.073,1.082,1.171,0.218,0.223,0.218,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.13,0.093,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.035,0.0,0.0,0.258,0.258,0.252,1.841,0.728,0.14,0.236,0.046,0.414,0.436,0.599,0.728,0.599,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.728,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.038,0.309,0.309,0.457,0.457,0.448
EDM,2016,EDM,2016030181,EDM,S.J,HOME,20170412,Team Level,all,0.2756,0.3308,0.3191,3802.0,21.594,1.71,1.423,4.548,0.654,12.356,9.31,1.681,1.703,1.674,19.0,11.0,13.0,43.0,2.0,1.0,1.0,3.0,1.0,11.0,12.0,17.0,28.0,7.0,14.0,19.0,49.0,9.0,23.0,21.0,9.0,0.0,0.665,1.045,0.0,1.0,1.0,0.0,43.486,30.0,30.373,15.0,0.306,0.143,0.143,1.872,1.864,1.848,43.923,4.495,3.274,10.433,1.71,26.204,17.884,4.312,4.601,4.415,44.0,20.0,23.0,87.0,3.0,7.0,1.0,4.0,3.0,23.0,24.0,41.0,61.0,4.0,8.0,25.0,34.0,18.0,16.0,51.0,7.0,6.0,1.289,0.889,2.318,0.0,1.0,2.0,87.296,64.0,64.353,11.0,0.756,1.328,1.328,3.923,3.992,3.94
EDM,2016,EDM,2016030181,EDM,S.J,HOME,20170412,Team Level,5on5,0.2455,0.3647,0.3443,2686.0,15.208,0.924,0.939,3.48,0.442,8.845,6.369,0.922,0.917,0.916,15.0,6.0,10.0,31.0,1.0,0.0,0.0,3.0,1.0,8.0,8.0,14.0,20.0,7.0,14.0,11.0,45.0,6.0,17.0,17.0,4.0,0.0,0.431,0.494,0.0,1.0,0.0,0.0,31.486,21.0,21.373,11.0,0.191,0.0,0.0,1.115,1.107,1.104,28.128,2.84,1.828,6.798,1.039,15.828,11.667,2.795,2.946,2.899,29.0,11.0,14.0,54.0,1.0,5.0,0.0,1.0,2.0,12.0,19.0,28.0,39.0,4.0,8.0,11.0,32.0,13.0,11.0,30.0,7.0,3.0,1.024,0.889,0.927,0.0,1.0,0.0,54.296,40.0,40.353,10.0,0.374,0.999,0.999,2.215,2.284,2.258
EDM,2016,EDM,2016030181,EDM,S.J,HOME,20170412,Team Level,4on5,0.0627,0.0882,0.0435,718.0,0.757,0.062,0.025,0.113,0.02,0.197,0.583,0.062,0.062,0.062,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,3.0,3.0,3.0,1.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.006,0.0,0.0,0.068,0.068,0.068,13.953,0.927,1.306,3.4,0.625,9.963,5.78,0.918,0.927,0.918,13.0,9.0,9.0,31.0,1.0,1.0,0.0,3.0,1.0,11.0,5.0,12.0,21.0,0.0,0.0,9.0,2.0,4.0,5.0,21.0,0.0,1.0,0.265,0.0,0.662,0.0,0.0,1.0,31.0,22.0,22.0,1.0,0.345,0.02,0.02,1.252,1.252,1.235
EDM,2016,EDM,2016030181,EDM,S.J,HOME,20170412,Team Level,5on4,1.0,1.0,1.0,278.0,3.651,0.501,0.313,0.65,0.119,2.231,1.186,0.478,0.501,0.478,3.0,2.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.042,0.458,0.0,0.0,1.0,0.0,6.0,5.0,5.0,0.0,0.074,0.143,0.143,0.431,0.431,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDM,2016,EDM,2016030182,EDM,S.J,HOME,20170414,Team Level,other,0.7454,0.3333,0.5,44.0,0.503,0.53,0.008,0.011,0.02,0.163,0.269,0.53,0.53,0.53,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.53,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.003,0.0,0.0,0.532,0.532,0.532,0.874,0.181,0.065,0.181,0.033,0.411,0.129,0.181,0.181,0.181,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.181,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.023,0.0,0.0,0.203,0.203,0.203
EDM,2016,EDM,2016030182,EDM,S.J,HOME,20170414,Team Level,all,0.8796,0.6814,0.7222,3600.0,39.035,4.465,2.685,7.961,1.182,20.151,15.557,4.246,4.444,4.226,36.0,16.0,25.0,77.0,2.0,2.0,0.0,10.0,0.0,19.0,19.0,34.0,50.0,6.0,12.0,22.0,41.0,16.0,18.0,32.0,16.0,4.0,1.095,1.792,1.578,1.0,0.0,1.0,77.638,52.0,52.679,13.0,0.589,0.441,0.441,4.613,4.588,4.338,15.218,0.611,0.911,3.795,0.479,8.322,5.883,0.611,0.621,0.621,16.0,4.0,16.0,36.0,0.0,0.0,0.0,5.0,0.0,5.0,10.0,16.0,20.0,4.0,8.0,27.0,21.0,5.0,11.0,18.0,2.0,0.0,0.305,0.306,0.0,0.0,0.0,0.0,35.931,20.0,20.035,3.0,0.21,0.0,0.0,0.821,0.833,0.833
EDM,2016,EDM,2016030182,EDM,S.J,HOME,20170414,Team Level,5on5,0.8442,0.6912,0.7209,2379.0,24.216,2.011,1.628,5.478,0.687,12.439,8.757,1.98,1.99,1.96,22.0,9.0,16.0,47.0,0.0,2.0,0.0,4.0,0.0,12.0,13.0,22.0,31.0,6.0,12.0,10.0,36.0,10.0,12.0,22.0,8.0,1.0,0.718,1.009,0.284,0.0,0.0,0.0,47.638,31.0,31.679,8.0,0.338,0.441,0.441,1.908,1.883,1.861,9.175,0.371,0.473,2.492,0.279,4.714,3.671,0.371,0.381,0.381,9.0,3.0,9.0,21.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0,9.0,12.0,4.0,8.0,15.0,19.0,5.0,4.0,11.0,1.0,0.0,0.246,0.125,0.0,0.0,0.0,0.0,20.931,12.0,12.035,1.0,0.098,0.0,0.0,0.469,0.482,0.481
EDM,2016,EDM,2016030182,EDM,S.J,HOME,20170414,Team Level,4on5,0.9569,0.4286,0.5714,720.0,6.344,0.998,0.254,0.882,0.176,1.778,3.912,0.998,0.998,0.998,6.0,2.0,1.0,9.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,6.0,0.0,0.0,8.0,4.0,6.0,3.0,6.0,0.0,2.0,0.233,0.0,0.764,1.0,0.0,1.0,9.0,8.0,8.0,3.0,0.06,0.0,0.0,1.058,1.058,1.058,4.299,0.045,0.365,1.046,0.135,2.987,1.421,0.045,0.045,0.045,5.0,1.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,6.0,0.0,0.0,5.0,1.0,0.0,6.0,6.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,2.0,0.086,0.0,0.0,0.132,0.132,0.132
EDM,2016,EDM,2016030182,EDM,S.J,HOME,20170414,Team Level,5on4,0.9851,0.9524,0.9231,457.0,7.972,0.927,0.794,1.59,0.299,5.772,2.618,0.739,0.927,0.739,8.0,4.0,8.0,20.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,8.0,12.0,0.0,0.0,4.0,1.0,0.0,2.0,4.0,8.0,0.0,0.144,0.783,0.0,0.0,0.0,0.0,20.0,12.0,12.0,1.0,0.189,0.0,0.0,1.115,1.115,0.887,0.869,0.014,0.009,0.075,0.031,0.21,0.661,0.014,0.014,0.014,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.003,0.0,0.0,0.017,0.017,0.017
